,rank,δ_rank,country,regime_type,democracy_index,δ_score,elec­toral_pro­cess_and_plura­lism,func­tioning_of_govern­ment,poli­tical_partici­pation,poli­tical_cul­ture,civil_liber­ties
0,Full democracies,Full democracies,Full democracies,Full democracies,Full democracies,Full democracies,Full democracies,Full democracies,Full democracies,Full democracies,Full democracies
1,1,,Norway,Full democracy,9.81,,10.00,9.64,10.00,10.00,9.41
2,2,,New Zealand,Full democracy,9.61,,10.00,9.29,10.00,8.75,10.00
3,3,,Iceland,Full democracy,9.52,,10.00,9.64,8.89,9.38,9.71
4,4,,Sweden,Full democracy,9.39,,9.58,9.64,8.33,10.00,9.41
5,5,,Finland,Full democracy,9.30,0.01,10.00,9.64,7.78,9.38,9.71
6,6,,Denmark,Full democracy,9.28,,10.00,9.29,8.33,9.38,9.41
7,7,1,Ireland,Full democracy,9.19,0.05,10.00,8.21,8.33,10.00,9.41
8,8,1,Switzerland,Full democracy,9.14,,9.58,9.29,8.33,9.38,9.12
9,9,,Netherlands,Full democracy,9.00,,9.58,8.93,8.33,8.75,9.41
10,10,,Taiwan,Full democracy,8.92,0.07,10.00,9.29,7.78,8.13,9.41
11,11,2,Luxembourg,Full democracy,8.81,,10.00,8.93,6.67,8.75,9.71
12,12,2,Germany,Full democracy,8.80,,9.58,8.57,8.33,8.13,9.41
13,13,1,Canada,Full democracy,8.69,0.19,10.00,8.21,8.89,7.50,8.82
14,14,3,Uruguay,Full democracy,8.66,0.25,10.00,8.93,7.78,6.88,9.71
15,15,1,Australia,Full democracy,8.66,0.05,10.00,8.57,7.22,7.50,10.00
16,16,,Japan,Full democracy,8.40,0.25,9.17,8.93,6.67,8.13,9.12
17,17,,Costa Rica,Full democracy,8.29,,9.58,7.50,7.78,6.88,9.71
18,18,,United Kingdom,Full democracy,8.28,,9.58,7.50,8.33,6.88,9.12
19,19,1,Austria,Full democracy,8.28,0.08,9.58,7.50,8.89,6.88,8.53
20,20,5,Greece,Full democracy,8.14,0.17,10.00,7.14,7.22,7.50,8.82
21,21,1,Mauritius,Full democracy,8.14,,9.17,7.86,6.11,8.75,8.82
22,22,2,South Korea,Full democracy,8.09,0.06,9.58,8.57,7.22,6.25,8.82
23,23,1,France,Full democracy,8.07,,9.58,7.86,7.78,6.88,8.24
24,24,1,Spain,Full democracy,8.07,,9.58,7.50,7.22,7.50,8.53
25,Flawed democracies,Flawed democracies,Flawed democracies,Flawed democracies,Flawed democracies,Flawed democracies,Flawed democracies,Flawed democracies,Flawed democracies,Flawed democracies,Flawed democracies
26,25,6,Chile,Flawed democracy,7.98,0.24,9.58,8.21,6.11,6.88,9.12
27,26,1,Czech Republic,Flawed democracy,7.97,,9.58,6.43,7.22,7.50,9.12
28,27,,Estonia,Flawed democracy,7.96,,9.58,7.86,6.67,6.88,8.82
29,28,5,Malta,Flawed democracy,7.93,0.23,9.17,7.14,6.67,8.13,8.53
30,29,1,United States,Flawed democracy,7.85,,9.17,6.43,8.89,6.25,8.53
31,30,1,Israel,Flawed democracy,7.80,0.13,9.58,7.50,9.44,6.88,5.59
32,31,3,Portugal,Flawed democracy,7.75,0.20,9.58,6.79,6.67,6.88,8.82
33,32,,Slovenia,Flawed democracy,7.75,,9.58,7.14,7.22,6.25,8.53
34,33,1,Botswana,Flawed democracy,7.73,,9.17,6.79,6.67,7.50,8.53
35,34,,Italy,Flawed democracy,7.69,,9.58,6.79,7.22,7.50,7.35
36,35,,Cape Verde,Flawed democracy,7.65,,9.17,7.00,6.67,6.88,8.53
37,36,,Belgium,Flawed democracy,7.64,,9.58,8.21,5.00,6.88,8.53
38,37,,Cyprus,Flawed democracy,7.38,,9.17,5.36,6.67,6.88,8.82
39,38,1,Latvia,Flawed democracy,7.38,0.01,9.58,6.43,6.11,6.25,8.53
40,39,,Lithuania,Flawed democracy,7.31,,9.58,6.43,6.11,5.63,8.82
41,40,,Malaysia,Flawed democracy,7.29,0.01,9.58,7.50,7.22,6.25,5.88
42,41,5,India,Flawed democracy,7.18,0.14,8.67,7.86,7.22,6.25,5.88
43,42,,Poland,Flawed democracy,7.18,0.14,9.58,6.07,6.67,6.25,7.35
44,43,2,Trinidad and Tobago,Flawed democracy,7.16,,9.58,7.14,6.11,5.63,7.35
45,44,1,Slovakia,Flawed democracy,7.05,,7.42,7.14,8.33,5.00,7.35
46,45,3,Jamaica,Flawed democracy,7.06,0.07,8.75,6.79,5.00,6.25,8.53
47,46,1,Timor-Leste,Flawed democracy,7.06,,9.58,5.93,5.56,6.88,7.35
48,47,2,South Africa,Flawed democracy,7.05,,7.42,7.14,8.33,5.00,7.35
49,48,1,Panama,Flawed democracy,6.91,,9.58,6.07,7.22,3.75,7.94
50,49,1,Suriname,Flawed democracy,6.88,0.07,9.58,6.07,6.11,5.00,7.65
51,50,6,Hungary,Flawed democracy,6.72,0.08,8.75,6.79,4.44,6.88,6.76
52,51,,Brazil,Flawed democracy,6.68,0.10,9.58,5.36,6.11,5.00,7.35
53,52,9,Montenegro,Flawed democracy,6.67,0.22,8.75,7.14,6.67,3.75,7.06
54,53,1,Philippines,Flawed democracy,6.66,0.07,9.17,4.64,7.78,4.38,7.35
55,54,4,Argentina,Flawed democracy,6.62,0.23,9.17,5.00,7.22,3.75,7.94
56,55,2,Colombia,Flawed democracy,6.55,0.18,9.17,6.07,6.11,3.75,7.65
57,56,2,Indonesia,Flawed democracy,6.53,0.18,7.92,7.86,7.22,4.38,5.29
58,57,1,Namibia,Flawed democracy,6.52,,7.00,5.36,6.67,5.63,7.94
59,58,1,Croatia,Flawed democracy,6.50,,9.17,6.07,6.11,4.38,6.76
60,59,7,Mongolia,Flawed democracy,6.48,0.13,8.75,5.71,6.11,5.63,6.18
61,60,1,Romania,Flawed democracy,6.45,,9.17,6.43,5.56,3.75,7.35
62,61,4,Dominican Republic,Flawed democracy,6.44,0.05,9.17,5.36,7.22,3.13,7.35
63,62,5,Bulgaria,Flawed democracy,6.41,0.08,8.75,5.71,5.56,4.38,7.65
64,63,8,Thailand,Flawed democracy,6.35,0.32,7.00,6.07,7.78,5.00,5.88
65,64,4,Serbia,Flawed democracy,6.33,,7.83,6.07,6.67,3.75,7.35
66,65,2,Ghana,Flawed democracy,6.30,0.13,8.33,5.00,6.67,5.63,5.88
67,66,2,Albania,Flawed democracy,6.28,0.13,7.00,6.07,5.00,6.25,7.06
68,67,,Guyana,Flawed democracy,6.26,0.08,7.33,6.07,6.11,5.00,6.76
69,68,1,Moldova,Flawed democracy,6.23,,7.42,5.36,7.22,4.38,6.76
70,69,1,Singapore,Flawed democracy,6.18,0.04,5.33,7.14,4.44,7.50,6.47
71,70,10,Sri Lanka,Flawed democracy,6.17,0.30,6.58,4.64,7.22,6.25,6.18
72,71,,Lesotho,Flawed democracy,6.06,0.13,9.17,3.79,5.56,5.63,6.18
73,72,,North Macedonia,Flawed democracy,6.03,0.07,7.83,5.71,6.11,3.13,7.35
74,73,2,Papua New Guinea,Flawed democracy,6.03,0.06,6.92,6.07,3.89,5.63,7.35
75,74,3,Paraguay,Flawed democracy,6.00,0.12,8.75,5.36,6.67,1.88,7.35
76,Hybrid regimes,Hybrid regimes,Hybrid regimes,Hybrid regimes,Hybrid regimes,Hybrid regimes,Hybrid regimes,Hybrid regimes,Hybrid regimes,Hybrid regimes,Hybrid regimes
77,75,2,Bangladesh,Hybrid regime,5.87,,7.42,6.07,5.56,5.63,4.71
78,76,,Malawi,Hybrid regime,5.85,0.06,7.00,4.29,5.56,6.25,6.18
79,77,2,Peru,Hybrid regime,5.81,0.09,8.75,5.71,5.00,3.13,6.47
80,78,,Zambia,Hybrid regime,5.80,,7.92,3.64,5.00,6.88,5.59
81,79,7,Liberia,Hybrid regime,5.57,0.14,7.83,2.71,6.11,5.63,5.59
82,80,3,Fiji,Hybrid regime,5.55,,6.58,5.00,5.56,5.63,5.00
83,81,3,Bhutan,Hybrid regime,5.54,,8.75,5.93,3.33,5.00,4.71
84,82,3,Tunisia,Hybrid regime,5.51,,6.17,4.64,6.11,5.63,5.00
85,83,4,Senegal,Hybrid regime,5.48,0.24,6.58,5.71,3.89,5.63,5.59
86,84,2,Armenia,Hybrid regime,5.42,0.21,7.92,4.64,6.11,3.13,5.29
87,85,4,Ecuador,Hybrid regime,5.41,0.28,8.75,5.00,5.56,1.88,5.88
88,86,6,Tanzania,Hybrid regime,5.35,0.25,4.83,5.36,5.00,6.88,4.71
89,87,7,Madagascar,Hybrid regime,5.26,0.44,6.58,3.57,6.11,5.63,4.41
90,88,,Hong Kong,Hybrid regime,5.24,0.04,2.75,3.64,5.00,6.88,7.94
91,89,1,Georgia,Hybrid regime,5.20,,7.00,3.57,6.11,3.75,5.59
92,90,1,Mexico,Hybrid regime,5.14,0.09,6.92,4.64,6.67,1.88,5.59
93,91,4,Ukraine,Hybrid regime,5.06,0.36,5.58,3.07,7.22,5.00,4.41
94,92,2,Kenya,Hybrid regime,5.05,,3.50,5.36,6.67,5.63,4.12
95,93,2,Morocco,Hybrid regime,5.02,0.02,5.25,4.64,5.56,5.63,4.12
96,94,3,Bosnia and Herzegovina,Hybrid regime,5.00,,7.00,4.00,5.00,3.13,5.88
97,95,4,Honduras,Hybrid regime,4.98,0.17,8.75,3.93,4.44,2.50,5.29
98,96,3,El Salvador,Hybrid regime,4.71,0.35,6.67,3.21,5.56,3.13,5.00
99,97,7,Benin,Hybrid regime,4.68,0.40,2.58,5.71,4.44,6.25,4.41
100,98,3,Nepal,Hybrid regime,4.60,0.11,4.83,5.36,5.00,2.50,5.29
101,99,,Uganda,Hybrid regime,4.49,0.06,3.42,3.57,3.89,6.88,4.71
102,100,2,Gambia,Hybrid regime,4.47,,4.42,4.29,3.89,5.63,4.12
103,101,2,Guatemala,Hybrid regime,4.47,0.21,5.67,3.93,5.00,1.88,5.88
104,102,1,Turkey,Hybrid regime,4.33,0.02,3.50,5.00,6.11,5.00,2.06
105,103,7,Sierra Leone,Hybrid regime,4.32,0.71,4.83,2.86,3.89,5.00,5.00
106,104,1,Nigeria,Hybrid regime,4.23,,5.17,3.93,3.89,3.75,4.41
107,105,1,Ivory Coast,Hybrid regime,4.22,,4.33,2.86,4.44,5.63,3.82
108,106,6,Bolivia,Hybrid regime,4.20,0.31,4.33,4.29,5.56,1.25,5.59
109,107,2,Angola,Hybrid regime,4.18,0.22,4.50,3.21,5.56,5.00,2.65
110,108,,Mauritania,Hybrid regime,4.14,0.11,3.50,3.57,6.11,3.13,4.41
111,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes,Authoritarian regimes
112,109,7,Kyrgyzstan,Authoritarian regime,3.70,0.08,4.33,1.86,3.89,3.13,5.29
113,110,3,Algeria,Authoritarian regime,3.66,,3.08,2.50,3.89,5.00,3.82
114,111,3,Qatar,Authoritarian regime,3.65,,1.50,4.29,3.33,5.63,3.53
115,112,3,Lebanon,Authoritarian regime,3.56,0.08,3.08,0.79,6.67,3.13,4.12
116,113,4,Mozambique,Authoritarian regime,3.51,,2.58,1.43,5.00,5.00,3.53
117,114,,Kuwait,Authoritarian regime,3.50,0.33,3.17,3.93,2.78,4.38,3.24
118,115,5,Palestine,Authoritarian regime,3.47,0.39,1.58,0.14,8.33,3.75,3.53
119,116,6,Ethiopia,Authoritarian regime,3.37,0.20,0.42,3.21,6.11,5.63,1.47
120,117,9,Rwanda,Authoritarian regime,3.30,0.20,1.42,4.64,2.78,5.00,2.65
121,118,11,Pakistan,Authoritarian regime,3.25,0.88,2.58,4.29,2.78,2.50,4.12
122,119,6,Oman,Authoritarian regime,3.12,,0.08,3.92,2.78,5.00,3.82
123,120,7,Kazakhstan,Authoritarian regime,3.08,,0.50,3.21,5.00,3.75,2.94
124,121,,Cambodia,Authoritarian regime,3.05,0.13,0.00,3.21,5.00,5.00,2.06
125,122,2,Comoros,Authoritarian regime,3.04,0.16,1.25,2.21,4.44,3.75,3.53
126,123,,Jordan,Authoritarian regime,3.04,0.13,2.67,3.21,3.89,2.50,2.94
127,124,10,Zimbabwe,Authoritarian regime,3.04,0.12,0.00,2.50,4.44,5.00,3.24
128,125,8,United Arab Emirates,Authoritarian regime,3.01,0.09,0.00,4.29,2.78,5.63,2.35
129,126,4,Togo,Authoritarian regime,2.99,,0.92,2.14,3.33,5.63,2.94
130,127,4,Egypt,Authoritarian regime,2.93,,1.33,3.21,3.33,5.00,1.76
131,128,4,Iraq,Authoritarian regime,2.88,0.25,5.25,0.00,6.11,1.88,1.18
132,129,6,Haiti,Authoritarian regime,2.81,,0.00,0.00,2.78,6.25,5.00
133,130,4,Azerbaijan,Authoritarian regime,2.80,0.07,0.50,2.50,3.33,5.00,2.65
134,131,1,Republic of the Congo,Authoritarian regime,2.79,,0.00,2.50,4.44,3.75,3.24
135,132,3,Eswatini,Authoritarian regime,2.78,0.23,0.92,1.64,2.78,5.63,2.94
136,133,6,Burkina Faso,Authoritarian regime,2.73,0.35,0.00,2.50,3.89,3.75,3.53
137,134,3,Djibouti,Authoritarian regime,2.70,0.04,0.00,1.64,3.89,5.63,2.35
138,135,4,Cuba,Authoritarian regime,2.65,,0.00,3.21,3.33,3.75,2.94
139,136,2,Vietnam,Authoritarian regime,2.62,0.03,0.00,3.93,2.78,3.75,2.65
140,137,18,Mali,Authoritarian regime,2.58,0.65,0.00,0.00,5.00,4.38,3.53
141,138,2,Cameroon,Authoritarian regime,2.56,,0.33,2.14,3.89,4.38,2.06
142,139,3,Bahrain,Authoritarian regime,2.52,,0.42,2.71,3.33,4.38,1.76
143,140,,Guinea-Bissau,Authoritarian regime,2.45,0.11,4.00,0.00,2.78,3.13,2.35
144,141,29,Niger,Authoritarian regime,2.37,1.36,0.33,1.14,2.22,3.75,4.41
145,142,5,Venezuela,Authoritarian regime,2.31,0.08,0.00,1.07,5.00,3.13,2.35
146,143,,Nicaragua,Authoritarian regime,2.26,0.24,0.00,2.14,2.78,3.75,2.65
147,144,2,Russia,Authoritarian regime,2.22,0.06,0.92,2.14,2.22,3.75,2.06
148,145,,Guinea,Authoritarian regime,2.21,0.11,0.83,0.43,3.33,4.38,2.06
149,146,28,Gabon,Authoritarian regime,2.18,1.22,0.83,1.14,2.22,3.75,2.94
150,147,1,Burundi,Authoritarian regime,2.13,,0.00,0.00,3.89,5.00,1.76
151,148,8,China,Authoritarian regime,2.12,0.18,0.00,3.57,3.33,3.13,0.59
152,149,1,Uzbekistan,Authoritarian regime,2.12,,0.08,1.86,2.78,5.00,0.88
153,150,,Saudi Arabia,Authoritarian regime,2.08,,0.00,3.57,2.22,3.13,1.47
154,151,2,Belarus,Authoritarian regime,1.99,,0.00,0.79,3.33,4.38,1.47
155,152,,Eritrea,Authoritarian regime,1.97,0.06,0.00,2.14,0.56,6.88,0.29
156,153,1,Iran,Authoritarian regime,1.96,,0.00,2.50,3.33,2.50,1.47
157,154,1,Yemen,Authoritarian regime,1.95,,0.00,0.00,3.89,5.00,0.88
158,155,1,Tajikistan,Authoritarian regime,1.94,,0.00,2.21,2.22,4.38,0.88
159,156,2,Equatorial Guinea,Authoritarian regime,1.92,,0.00,0.43,3.33,4.38,1.47
160,157,6,Libya,Authoritarian regime,1.78,0.28,0.00,0.00,2.78,3.75,2.35
161,158,14,Sudan,Authoritarian regime,1.76,0.71,0.00,0.07,2.22,5.63,0.88
162,159,,Laos,Authoritarian regime,1.71,0.06,0.00,2.86,1.67,3.75,0.29
163,160,2,Democratic Republic of the Congo,Authoritarian regime,1.68,0.20,1.17,0.43,2.78,3.13,0.88
164,161,1,Chad,Authoritarian regime,1.67,,0.00,0.00,2.22,3.75,2.35
165,162,1,Turkmenistan,Authoritarian regime,1.66,,0.00,0.79,2.22,5.00,0.29
166,163,,Syria,Authoritarian regime,1.43,,0.00,0.00,2.78,4.38,0.00
167,164,2,Central African Republic,Authoritarian regime,1.18,0.17,0.00,0.00,1.67,1.88,2.35
168,165,,North Korea,Authoritarian regime,1.08,,0.00,2.50,1.67,1.25,0.00
169,166,,Myanmar,Authoritarian regime,0.85,0.11,0.00,0.00,1.11,3.13,0.00
