,rank,.mw-parser-output_.tooltip-dotted{border-bottom:1px_dotted;cursor:help}δ_rank,country,regime_type,overall_score,δ_score,elec­toral_pro­cess_and_plura­lism,func­tioning_of_govern­ment,poli­tical_partici­pation,poli­tical_cul­ture,civil_liber­ties
1,1,,Norway,Full democracy,9.81,0.06,10.00,9.64,10.00,10.00,9.41
2,2,,Iceland,Full democracy,9.37,0.21,10.00,8.57,8.89,10.00,9.41
3,3,,Sweden,Full democracy,9.26,0.13,9.58,9.29,8.33,10.00,9.12
4,4,,New Zealand,Full democracy,9.25,0.01,10.00,8.93,8.89,8.75,9.71
5,5,2,Canada,Full democracy,9.24,0.02,9.58,8.93,8.89,9.38,9.41
6,6,1,Finland,Full democracy,9.20,0.05,10.00,8.93,8.89,8.75,9.41
7,7,,Denmark,Full democracy,9.15,0.07,10.00,8.93,8.33,9.38,9.12
8,8,2,Ireland,Full democracy,9.05,0.19,10.00,7.86,8.33,9.38,9.71
9,9,,Australia,Full democracy,8.96,0.13,10.00,8.57,7.78,8.75,9.71
10,9,2,Netherlands,Full democracy,8.96,0.05,9.58,9.29,8.33,8.75,8.82
11,11,20,Taiwan,Full democracy,8.94,1.21,10.00,9.64,7.22,8.13,9.71
12,12,2,Switzerland,Full democracy,8.83,0.20,9.58,8.57,7.78,9.38,8.82
13,13,1,Luxembourg,Full democracy,8.68,0.13,10.00,8.57,6.67,8.75,9.71
14,14,1,Germany,Full democracy,8.67,0.01,9.58,8.21,8.33,8.13,9.12
15,15,,Uruguay,Full democracy,8.61,0.23,10.00,8.57,6.67,8.13,9.71
16,16,2,United Kingdom,Full democracy,8.54,0.02,10.00,7.50,8.89,7.50,8.82
17,17,4,Chile,Full democracy,8.28,0.20,9.58,8.21,6.67,8.13,8.82
18,18,2,Austria,Full democracy,8.16,0.13,9.58,7.50,8.33,6.88,8.53
19,18,1,Costa Rica,Full democracy,8.16,0.03,9.58,6.79,7.22,7.50,9.71
20,20,2,Mauritius,Full democracy,8.14,0.08,9.17,7.86,6.11,8.75,8.82
21,21,3,Japan,Full democracy,8.13,0.14,8.75,8.57,6.67,8.13,8.53
22,22,6,Spain,Full democracy,8.12,0.17,9.58,7.14,7.22,8.13,8.53
23,23,,South Korea,Full democracy,8.01,0.01,9.17,8.21,7.22,7.50,7.94
25,24,4,France,Flawed democracy,7.99,0.13,9.58,7.50,7.78,6.88,8.24
26,25,,United States,Flawed democracy,7.92,0.04,9.17,6.79,8.89,6.25,8.53
27,26,4,Portugal,Flawed democracy,7.90,0.13,9.58,7.50,6.11,7.50,8.82
28,27,,Estonia,Flawed democracy,7.84,0.06,9.58,7.86,6.67,6.88,8.24
29,27,1,Israel,Flawed democracy,7.84,0.02,9.17,7.50,9.44,7.50,5.59
30,29,6,Italy,Flawed democracy,7.74,0.22,9.58,6.43,7.22,7.50,7.94
31,30,4,Malta,Flawed democracy,7.68,0.27,9.17,6.79,6.11,8.13,8.24
32,31,1,Czech Republic,Flawed democracy,7.67,0.02,9.58,6.07,6.67,7.50,8.53
33,32,2,Cape Verde,Flawed democracy,7.65,0.13,9.17,7.00,6.67,6.88,8.53
34,33,4,Botswana,Flawed democracy,7.62,0.19,9.17,6.79,6.11,7.50,8.53
35,34,,Cyprus,Flawed democracy,7.56,0.03,9.17,5.36,7.22,7.50,8.53
36,35,1,Slovenia,Flawed democracy,7.54,0.04,9.58,6.43,7.22,6.25,8.24
37,36,3,Belgium,Flawed democracy,7.51,0.13,9.58,7.86,5.00,6.88,8.24
38,37,2,Greece,Flawed democracy,7.39,0.04,9.58,5.21,6.11,7.50,8.53
39,38,,Latvia,Flawed democracy,7.24,0.25,9.58,6.07,6.67,5.63,8.24
40,39,4,Malaysia,Flawed democracy,7.19,0.03,9.58,7.86,6.67,6.25,5.59
41,40,6,Panama,Flawed democracy,7.18,0.13,9.58,6.43,7.22,5.00,7.65
42,41,2,Trinidad and Tobago,Flawed democracy,7.16,,9.58,7.14,6.11,5.63,7.35
43,42,8,Jamaica,Flawed democracy,7.13,0.17,8.75,7.14,5.00,6.25,8.53
44,42,6,Lithuania,Flawed democracy,7.13,0.37,9.58,6.07,5.56,5.63,8.82
45,44,3,Timor-Leste,Flawed democracy,7.06,0.13,9.58,5.93,5.56,6.88,7.35
46,45,5,South Africa,Flawed democracy,7.05,0.19,7.42,7.14,8.33,5.00,7.35
47,46,1,Colombia,Flawed democracy,7.04,0.09,9.17,6.43,6.67,5.00,7.94
48,47,5,Slovakia,Flawed democracy,6.97,0.20,9.58,6.43,5.56,5.63,7.65
49,48,,Argentina,Flawed democracy,6.95,0.07,9.17,5.36,6.67,5.63,7.94
50,49,3,Brazil,Flawed democracy,6.92,0.04,9.58,5.36,6.11,5.63,7.94
51,50,7,Poland,Flawed democracy,6.85,0.23,9.17,5.71,6.67,5.63,7.06
52,51,2,Suriname,Flawed democracy,6.82,0.16,9.58,6.07,6.11,5.00,7.35
53,52,5,Bulgaria,Flawed democracy,6.71,0.32,9.17,5.71,7.22,4.38,7.06
54,53,2,India,Flawed democracy,6.61,0.29,8.67,7.14,6.67,5.00,5.59
55,54,1,Tunisia,Flawed democracy,6.59,0.13,9.17,5.36,7.22,5.63,5.59
56,55,1,Philippines,Flawed democracy,6.56,0.08,9.17,5.00,7.78,4.38,6.47
57,55,,Hungary,Flawed democracy,6.56,0.07,8.33,6.43,5.00,6.25,6.76
58,57,1,Peru,Flawed democracy,6.53,0.07,8.75,5.36,5.56,5.63,7.35
59,58,7,Namibia,Flawed democracy,6.52,0.09,7.00,5.36,6.67,5.63,7.94
60,59,,Croatia,Flawed democracy,6.50,0.07,9.17,6.07,6.11,4.38,6.76
61,59,4,Ghana,Flawed democracy,6.50,0.13,8.33,5.36,6.67,6.25,5.88
62,61,1,Mongolia,Flawed democracy,6.48,0.02,8.75,5.71,5.56,5.63,6.76
63,62,1,Romania,Flawed democracy,6.40,0.09,9.17,5.36,6.67,3.75,7.06
64,63,3,Dominican Republic,Flawed democracy,6.32,0.22,9.17,4.29,6.11,5.00,7.06
65,64,4,Lesotho,Flawed democracy,6.30,0.24,9.17,4.14,6.11,5.63,6.47
66,64,,Indonesia,Flawed democracy,6.30,0.18,7.92,7.50,6.11,4.38,5.59
67,66,,Serbia,Flawed democracy,6.22,0.19,8.25,5.36,6.67,3.75,7.06
68,67,3,Paraguay,Flawed democracy,6.18,0.06,8.75,5.71,5.00,4.38,7.06
69,68,1,Sri Lanka,Flawed democracy,6.14,0.13,7.00,5.71,5.56,6.25,6.18
70,69,2,Ecuador,Flawed democracy,6.13,0.20,8.75,5.00,6.67,3.75,6.47
71,70,4,Papua New Guinea,Flawed democracy,6.10,0.07,6.92,6.07,3.33,6.25,7.94
72,71,8,Albania,Flawed democracy,6.08,0.19,7.00,5.36,4.44,6.25,7.35
73,72,1,Mexico,Flawed democracy,6.07,0.02,7.83,5.71,7.78,3.13,5.88
74,73,5,Thailand,Flawed democracy,6.04,0.28,7.00,5.00,6.67,6.25,5.29
75,74,1,Singapore,Flawed democracy,6.03,0.01,4.83,7.86,4.44,6.25,6.76
76,75,4,Guyana,Flawed democracy,6.01,0.14,6.50,5.36,6.11,5.00,7.06
78,76,4,Bangladesh,Hybrid regime,5.99,0.11,7.42,6.07,6.11,5.63,4.71
79,77,6,El Salvador,Hybrid regime,5.90,0.25,9.17,4.29,6.11,3.75,6.18
80,78,1,North Macedonia,Hybrid regime,5.89,0.08,7.42,5.71,6.11,3.13,7.06
81,79,1,Ukraine,Hybrid regime,5.81,0.09,8.25,2.71,7.22,5.00,5.88
82,80,3,Moldova,Hybrid regime,5.78,0.03,7.00,4.64,6.11,4.38,6.76
83,81,3,Montenegro,Hybrid regime,5.77,0.12,7.42,5.71,6.11,3.13,6.47
84,82,5,Malawi,Hybrid regime,5.74,0.24,7.00,4.29,5.00,6.25,6.18
85,83,2,Fiji,Hybrid regime,5.72,0.13,6.58,5.00,6.11,5.63,5.29
86,84,7,Bhutan,Hybrid regime,5.71,0.41,8.75,6.79,3.33,5.00,4.71
87,85,,Madagascar,Hybrid regime,5.70,0.06,7.92,3.57,6.67,5.63,4.71
88,86,4,Senegal,Hybrid regime,5.67,0.18,6.08,5.71,4.44,6.25,5.88
89,87,12,Hong Kong,Hybrid regime,5.57,0.45,3.17,3.64,5.00,7.50,8.53
90,88,1,Honduras,Hybrid regime,5.36,0.06,7.83,4.29,4.44,4.38,5.88
91,89,3,Armenia,Hybrid regime,5.35,0.19,7.50,5.00,6.11,3.13,5.00
92,90,2,Liberia,Hybrid regime,5.32,0.13,7.42,2.71,5.56,5.63,5.29
93,91,2,Georgia,Hybrid regime,5.31,0.11,7.83,3.57,6.11,3.75,5.29
94,92,,Nepal,Hybrid regime,5.22,0.06,4.83,5.36,5.00,5.63,5.29
95,93,2,Tanzania,Hybrid regime,5.10,0.06,4.83,5.00,5.00,6.25,4.41
96,94,10,Bolivia,Hybrid regime,5.08,0.24,6.08,3.57,6.11,3.75,5.88
97,95,1,Kenya,Hybrid regime,5.05,0.13,3.50,5.36,6.67,5.63,4.12
98,96,,Morocco,Hybrid regime,5.04,0.06,5.25,4.64,5.56,5.63,4.12
99,97,4,Guatemala,Hybrid regime,4.97,0.29,6.92,3.93,5.00,3.13,5.88
100,98,1,Uganda,Hybrid regime,4.94,0.08,4.33,3.21,5.00,6.88,5.29
101,99,2,Zambia,Hybrid regime,4.86,0.23,4.75,2.93,3.89,6.88,5.88
102,99,3,Sierra Leone,Hybrid regime,4.86,,6.58,2.86,3.33,6.25,5.29
103,101,1,Bosnia and Herzegovina,Hybrid regime,4.84,0.02,7.00,2.93,5.56,3.13,5.59
104,102,5,Benin,Hybrid regime,4.58,0.51,3.33,5.36,3.89,5.63,4.71
105,103,4,Gambia,Hybrid regime,4.49,0.16,4.00,4.29,4.44,5.63,4.12
106,104,6,Turkey,Hybrid regime,4.48,0.39,3.50,5.36,5.56,5.63,2.35
107,105,3,Pakistan,Hybrid regime,4.31,0.06,5.67,5.36,3.33,2.50,4.71
108,106,1,Haiti,Hybrid regime,4.22,0.35,4.75,1.71,2.78,6.25,5.59
109,107,6,Kyrgyzstan,Hybrid regime,4.21,0.67,4.75,2.93,5.56,3.13,4.71
110,108,2,Lebanon,Hybrid regime,4.16,0.20,3.50,1.50,6.67,5.00,4.12
111,109,2,Ivory Coast,Hybrid regime,4.11,0.06,4.33,2.86,3.89,5.63,3.82
112,110,1,Nigeria,Hybrid regime,4.10,0.02,5.17,3.57,3.89,3.75,4.12
114,111,11,Mali,Authoritarian,3.93,0.99,5.17,0.00,4.44,5.63,4.41
115,112,4,Mauritania,Authoritarian,3.92,,3.50,3.57,5.00,3.13,4.41
116,113,4,Palestine,Authoritarian,3.83,0.06,3.33,0.14,7.78,4.38,3.53
117,114,,Kuwait,Authoritarian,3.80,0.13,3.58,3.93,3.89,4.38,3.24
118,115,2,Algeria,Authoritarian,3.77,0.24,3.08,2.50,4.44,5.00,3.82
119,116,4,Burkina Faso,Authoritarian,3.73,0.31,3.00,2.36,4.44,5.00,3.82
120,117,2,Angola,Authoritarian,3.66,0.06,2.25,2.86,5.56,5.00,2.65
121,118,,Iraq,Authoritarian,3.62,0.12,5.25,0.00,6.67,5.00,1.18
122,118,4,Jordan,Authoritarian,3.62,0.31,2.67,3.93,3.89,4.38,3.24
123,120,2,Nicaragua,Authoritarian,3.60,0.05,0.42,2.86,5.00,5.63,4.12
124,121,,Gabon,Authoritarian,3.54,0.07,2.58,1.86,4.44,5.00,3.82
125,122,2,Mozambique,Authoritarian,3.51,0.14,2.58,1.43,5.00,5.00,3.53
126,123,2,Ethiopia,Authoritarian,3.38,0.06,0.42,3.57,5.56,5.00,2.35
127,124,10,Russia,Authoritarian,3.31,0.20,2.17,2.14,5.00,3.13,4.12
128,125,2,Niger,Authoritarian,3.29,,2.92,1.14,3.33,4.38,4.71
129,126,2,Qatar,Authoritarian,3.24,0.05,0.00,4.29,2.78,5.63,3.53
130,127,2,Zimbabwe,Authoritarian,3.16,,0.00,2.50,4.44,5.63,3.24
131,128,11,Kazakhstan,Authoritarian,3.14,0.20,0.50,3.21,5.00,3.75,3.24
132,129,5,Republic of the Congo,Authoritarian,3.11,,2.17,2.50,3.89,3.75,3.24
133,130,6,Cambodia,Authoritarian,3.10,0.43,0.00,3.93,3.89,5.63,2.06
134,130,1,Rwanda,Authoritarian,3.10,0.06,1.42,4.29,2.78,4.38,2.65
135,132,1,Comoros,Authoritarian,3.09,0.06,2.08,2.21,3.89,3.75,3.53
136,133,1,Eswatini,Authoritarian,3.08,0.06,0.92,2.86,2.78,5.63,3.24
137,133,4,Guinea,Authoritarian,3.08,0.06,3.50,0.43,4.44,4.38,2.65
138,135,13,Myanmar,Authoritarian,3.04,0.51,1.75,3.93,2.78,4.38,2.35
139,136,1,Oman,Authoritarian,3.00,0.06,0.08,3.93,2.78,4.38,3.82
140,137,1,Vietnam,Authoritarian,2.94,0.14,0.00,2.86,3.89,5.63,2.35
141,138,1,Egypt,Authoritarian,2.93,0.13,1.33,3.21,3.33,5.00,1.76
142,139,2,Afghanistan,Authoritarian,2.85,,3.42,0.64,3.89,2.50,3.82
143,140,3,Cuba,Authoritarian,2.84,,0.00,3.57,3.33,4.38,2.94
144,141,15,Togo,Authoritarian,2.80,0.50,3.17,1.79,3.33,5.00,3.24
145,142,1,Cameroon,Authoritarian,2.77,0.08,1.67,2.14,3.33,4.38,2.35
146,143,3,Venezuela,Authoritarian,2.76,0.04,0.00,1.79,5.00,4.38,2.65
147,144,,Djibouti,Authoritarian,2.71,0.06,0.42,1.29,3.89,5.63,2.35
148,145,,United Arab Emirates,Authoritarian,2.70,0.06,0.00,3.93,2.22,5.00,2.65
149,146,,Azerbaijan,Authoritarian,2.68,0.07,0.50,2.86,3.33,3.75,2.94
150,147,1,Guinea-Bissau,Authoritarian,2.63,,4.92,0.00,2.78,3.13,2.35
151,148,2,Belarus,Authoritarian,2.59,0.11,0.00,2.00,3.89,5.00,2.06
152,149,2,Sudan,Authoritarian,2.54,0.16,0.00,1.79,4.44,5.00,1.47
153,150,1,Bahrain,Authoritarian,2.49,0.06,0.83,2.71,2.78,4.38,1.76
154,151,2,China,Authoritarian,2.27,0.01,0.00,4.29,2.78,3.13,1.18
155,152,1,Iran,Authoritarian,2.20,0.18,0.00,2.50,3.89,3.13,1.47
156,153,1,Eritrea,Authoritarian,2.15,0.22,0.00,2.14,0.56,6.88,1.18
157,154,,Burundi,Authoritarian,2.14,0.01,0.00,0.00,3.33,5.00,2.35
158,155,2,Uzbekistan,Authoritarian,2.12,0.11,0.08,1.86,2.78,5.00,0.88
159,156,3,Saudi Arabia,Authoritarian,2.08,0.15,0.00,3.57,2.22,3.13,1.47
160,157,1,Libya,Authoritarian,1.95,0.07,0.00,0.00,3.33,3.75,2.65
161,157,,Yemen,Authoritarian,1.95,,0.00,0.00,3.89,5.00,0.88
162,159,,Tajikistan,Authoritarian,1.94,0.01,0.00,2.21,2.22,4.38,0.88
163,160,1,Equatorial Guinea,Authoritarian,1.92,,0.00,0.43,3.33,4.38,1.47
164,161,6,Laos,Authoritarian,1.77,0.37,0.00,2.86,1.67,3.75,0.59
165,162,,Turkmenistan,Authoritarian,1.72,,0.00,0.79,2.22,5.00,0.59
166,163,,Chad,Authoritarian,1.55,0.06,0.00,0.00,1.67,3.75,2.35
167,164,,Syria,Authoritarian,1.43,,0.00,0.00,2.78,4.38,0.00
168,165,,Central African Republic,Authoritarian,1.32,,1.25,0.00,1.11,1.88,2.35
169,166,,Democratic Republic of the Congo,Authoritarian,1.13,,0.00,0.00,1.67,3.13,0.88
